songname,t,headX,headY,headZ,headRotX,headRotY,headRotZ,leftHandX,leftHandY,leftHandZ,leftHandRotX,leftHandRotY,leftHandRotZ,leftHandVelX,leftHandVelY,leftHandVelZ,leftHandAngVelX,leftHandAngVelY,leftHandAngVelZ,rightHandX,rightHandY,rightHandZ,rightHandRotX,rightHandRotY,rightHandRotZ,rightHandVelX,rightHandVelY,rightHandVelZ,rightHandAngVelX,rightHandAngVelY,rightHandAngVelZ

,0,0,0,0,0,0,0,-0.25,1,0,0,0,0,0,0,0,0,0,0,0.25,1,0,0,0,0,0,0,0,0,0,0

,0.02,0,0,0,0,0,0,-0.25,1,0,0,0,0,0,0,0,0,0,0,0.25,1,0,0,0,0,0,0,0,0,0,0

,0.3533334,-0.1664987,0.4997498,-0.3405239,333.6437,327.3326,3.791406,0,0,0,0,0,0,0,0,0,-1.401298E-45,-4.063766E-44,0,0,0,0,0,0,0,2.972744E-37,8.940284E-43,-1.119911E+23,-4.591635E-41,-1.121039E-44,0

,0.3978992,-0.163579,0.4998038,-0.3386623,333.7382,327.9124,3.572605,0,0,0,0,0,0,0,8.898245E-43,-6.337808E-19,-8.926271E-43,0,0,0,0,0,0,0,0,0,0,-1.541428E-44,0,2.400187E-35,9.949219E-44

,0.4111208,-0.1630385,0.4997339,-0.3387227,333.7119,327.942,3.556308,0,0,0,0,0,0,-1.192841E-19,8.898245E-43,1.159023E-19,-8.898245E-43,1.158921E-19,8.898245E-43,0,0,0,0,0,0,0,0,0,0,0,0

,0.4149325,-0.1628324,0.4997314,-0.3387654,333.7363,327.9944,3.497955,0,0,0,0,0,0,-1.192841E-19,8.898245E-43,1.159023E-19,-8.898245E-43,1.158921E-19,8.898245E-43,0,0,0,0,0,0,0,0,0,0,0,0

,0.4185458,-0.1627017,0.4996704,-0.338837,333.7462,328.0554,3.442572,0,0,0,0,0,0,-1.192841E-19,8.898245E-43,1.159023E-19,-8.898245E-43,1.158921E-19,8.898245E-43,0,0,0,0,0,0,0,0,0,0,0,0

,0.4296941,-0.162535,0.499678,-0.3388799,333.769,328.1371,3.376975,0,0,0,0,0,0,-1.192841E-19,8.898245E-43,1.159023E-19,-8.898245E-43,1.158921E-19,8.898245E-43,0,0,0,0,0,0,0,0,0,0,0,0

,0.4379676,-0.162282,0.4996543,-0.3388878,333.7771,328.1628,3.342866,0,0,0,0,0,0,-1.192841E-19,8.898245E-43,1.159023E-19,-8.898245E-43,1.158921E-19,8.898245E-43,0,0,0,0,0,0,0,0,0,0,0,0

,0.448776,-0.1620559,0.4996727,-0.3389437,333.7513,328.1833,3.337893,0,0,0,0,0,0,-1.192841E-19,8.898245E-43,1.159023E-19,-8.898245E-43,1.158921E-19,8.898245E-43,0,0,0,0,0,0,0,0,0,0,0,0

,0.4601219,-0.1618659,0.4996585,-0.3389616,333.7205,328.2143,3.31855,0,0,0,0,0,0,-1.192841E-19,8.898245E-43,1.159023E-19,-8.898245E-43,1.158921E-19,8.898245E-43,0,0,0,0,0,0,0,0,0,0,0,0

,0.4709235,-0.1616161,0.4996136,-0.3389911,333.7217,328.2304,3.300588,0,0,0,0,0,0,-1.192841E-19,8.898245E-43,1.159023E-19,-8.898245E-43,1.158921E-19,8.898245E-43,0,0,0,0,0,0,0,0,0,0,0,0

,0.4821921,-0.1615081,0.4996384,-0.3390101,333.713,328.26,3.269219,0,0,0,0,0,0,-1.192841E-19,8.898245E-43,1.159023E-19,-8.898245E-43,1.158921E-19,8.898245E-43,0,0,0,0,0,0,0,0,0,0,0,0

,0.4932384,-0.1612912,0.4996552,-0.339002,333.7107,328.2942,3.251132,0,0,0,0,0,0,-1.192841E-19,8.898245E-43,1.159023E-19,-8.898245E-43,1.158921E-19,8.898245E-43,0,0,0,0,0,0,0,0,0,0,0,0

