songname,t,headX,headY,headZ,headRotX,headRotY,headRotZ,leftHandX,leftHandY,leftHandZ,leftHandRotX,leftHandRotY,leftHandRotZ,leftHandVelX,leftHandVelY,leftHandVelZ,leftHandAngVelX,leftHandAngVelY,leftHandAngVelZ,rightHandX,rightHandY,rightHandZ,rightHandRotX,rightHandRotY,rightHandRotZ,rightHandVelX,rightHandVelY,rightHandVelZ,rightHandAngVelX,rightHandAngVelY,rightHandAngVelZ

,1.08899,-0.06518638,0.08556986,0.01197295,351.8029,359.8562,359.8932,-0.25,1,0,0,0,0,0,0,0,0,0,0,0.25,1,0,0,0,0,0,0,0,0,0,0

,1.08899,-0.06548405,0.08551395,0.01186626,351.7595,359.8493,359.9123,-0.25,1,0,0,0,0,0,0,0,0,0,0,0.25,1,0,0,0,0,0,0,0,0,0,0

,1.10899,-0.06541038,0.0855509,0.01187264,351.7913,359.8553,359.8967,-0.25,1,0,0,0,0,0,0,0,0,0,0,0.25,1,0,0,0,0,0,0,0,0,0,0

,1.130357,-0.06539464,0.08552504,0.01186328,351.7951,359.8437,359.8952,0.3826151,0.08882391,0.08570701,346.2532,25.7844,6.721446,0.004133958,-0.001895032,0.0006599917,-0.002192501,0.0006837594,-0.002942582,0.494545,0.09356332,0.09127212,346.4108,20.74258,352.4386,-0.004554413,0.004360351,-0.001628707,0.004423545,-0.0009488236,0.007092319

,1.15496,-0.06530869,0.08549869,0.01191835,351.7961,359.85,359.8997,0.3830931,0.08859658,0.0859049,346.2596,25.79827,6.707616,0.004666097,-0.001456119,0.001401843,-0.003108048,0.002383774,-0.004349015,0.4944248,0.09369397,0.09121418,346.4052,20.74431,352.4442,-0.004678415,0.004803467,-0.002045148,0.0007087756,0.0008413046,0.005579425

,1.163652,-0.06516314,0.08547044,0.01194333,351.7969,359.8555,359.885,0.3831344,0.08867741,0.08590573,346.2631,25.79209,6.705413,0.004805519,-0.0009509553,0.001642469,-0.00101988,-0.002009467,-0.001317971,0.4945252,0.09363985,0.0913431,346.4146,20.74063,352.4519,-0.004561782,0.004370394,-0.0007762258,0.003063084,-0.00112712,0.006486484

,1.175045,-0.06516516,0.08545506,0.01195644,351.8016,359.8649,359.8956,0.3831794,0.08866,0.08590895,346.2621,25.79624,6.706838,0.004691426,-0.001126301,0.001312715,-0.0006456543,0.0006551037,3.806345E-05,0.494662,0.09367359,0.09136611,346.4172,20.74301,352.4521,-0.003495619,0.004657707,-0.000554128,0.003441103,0.0001885206,0.007107866

,1.186385,-0.06516671,0.08547771,0.01200591,351.8135,359.8654,359.8851,0.383517,0.08846998,0.08607703,346.263,25.799,6.718259,0.00496607,-0.0006842533,0.00203898,-0.0001207396,0.001042707,0.005835172,0.4946101,0.09371936,0.09136897,346.4196,20.73959,352.4618,-0.003901134,0.004553495,-0.0003255853,0.005167116,-0.0003441041,0.008991032

,1.197448,-0.06518793,0.08548272,0.01198487,351.8135,359.8531,359.8854,0.3830523,0.08865499,0.08599472,346.2645,25.79477,6.729877,0.003106724,-0.00114785,0.001915763,0.002254753,-0.0007457426,0.005357643,0.4946389,0.093701,0.09144861,346.4202,20.73603,352.4601,-0.004090839,0.004021419,6.570874E-05,0.001321946,-0.002623267,0.005246162

,1.208414,-0.065184,0.08545423,0.01197384,351.7959,359.8426,359.8857,0.3830853,0.08864522,0.08600873,346.2591,25.79955,6.722631,0.003184006,-0.001021158,0.001825002,-0.002093576,0.0007570607,0.001930679,0.4943943,0.09367299,0.09144026,346.4218,20.74105,352.4711,-0.004900762,0.003143425,7.344916E-06,0.003360885,0.001194236,0.003262005

