songname,t,headX,headY,headZ,headRotX,headRotY,headRotZ,leftHandX,leftHandY,leftHandZ,leftHandRotX,leftHandRotY,leftHandRotZ,leftHandVelX,leftHandVelY,leftHandVelZ,leftHandAngVelX,leftHandAngVelY,leftHandAngVelZ,rightHandX,rightHandY,rightHandZ,rightHandRotX,rightHandRotY,rightHandRotZ,rightHandVelX,rightHandVelY,rightHandVelZ,rightHandAngVelX,rightHandAngVelY,rightHandAngVelZ

,1.348925,-0.05582356,0.08393872,0.01661663,351.5,314.6229,359.2098,-0.25,1,0,0,0,0,0,0,0,0,0,0,0.25,1,0,0,0,0,0,0,0,0,0,0

,1.348925,-0.05584538,0.08393216,0.01659082,351.4965,314.6306,359.2122,-0.25,1,0,0,0,0,0,0,0,0,0,0,0.25,1,0,0,0,0,0,0,0,0,0,0

,1.368925,-0.05591071,0.08397639,0.01665221,351.4931,314.6294,359.2109,-0.25,1,0,0,0,0,0,0,0,0,0,0,0.25,1,0,0,0,0,0,0,0,0,0,0

,1.393521,-0.0559634,0.08399236,0.01665358,351.4998,314.6314,359.2065,0.4095149,0.08187807,0.1123366,345.6276,30.24651,12.66376,0.007032,-0.004113402,0.0002516145,-0.0006573583,-0.0007580038,0.0005443855,0.5174673,0.08934653,0.08606416,346.927,24.11907,337.8824,0.003876939,-0.001087005,9.623104E-05,0.0009104509,-0.0002410137,0.0004232865

,1.416881,-0.05591643,0.08393812,0.01657026,351.4972,314.636,359.2003,0.4098001,0.08169031,0.1124281,345.6315,30.25102,12.66753,0.006961655,-0.004473383,0.000612743,0.001208833,0.0001530343,0.001716303,0.5176632,0.08927047,0.0861063,346.9319,24.11668,337.88,0.00447547,-0.001023438,0.0002071941,0.0002936935,0.000105692,-0.001849081

,1.425654,-0.05587673,0.08392274,0.01657252,351.4844,314.6253,359.2077,0.4094639,0.08186984,0.112342,345.6333,30.24637,12.67158,0.006073799,-0.004294849,0.0007214273,0.002444764,-0.001471409,0.002946437,0.5173283,0.08939469,0.08602935,346.9255,24.11521,337.889,0.002997792,-0.001269588,4.290163E-05,0.001205487,-0.001861237,-0.0003971872

,1.43731,-0.05588341,0.08392727,0.01653354,351.492,314.6252,359.207,0.4095368,0.08182585,0.1123394,345.6317,30.24693,12.66395,0.006084544,-0.00416868,0.0005008366,8.117216E-05,-0.001863479,-0.0007348521,0.5173664,0.08938229,0.08603221,346.9217,24.12044,337.8936,0.003180244,-0.001212979,0.0001084335,9.353908E-05,0.002050953,0.002505445

,1.448351,-0.05591881,0.08389747,0.01652472,351.4892,314.6271,359.2034,0.4096775,0.08173037,0.1123413,345.6288,30.25003,12.66693,0.006188026,-0.004216754,0.0003053908,0.001574136,-0.0008284944,0.00189237,0.5174837,0.08929384,0.08601516,346.9245,24.10991,337.895,0.002973902,-0.001380183,6.850194E-06,0.0008791183,-0.001847568,0.00219189

,1.459388,-0.05593359,0.08390415,0.01652341,351.4911,314.6233,359.2081,0.4092309,0.08198273,0.1122052,345.6279,30.25073,12.66267,0.005933836,-0.004192856,0.0001829,-0.0002895571,-0.0008770334,-0.0009106825,0.5171428,0.08939683,0.08593601,346.9163,24.11451,337.8984,0.002047045,-0.001510881,-0.0002176945,-0.0002699317,-0.0008255426,0.001172264

,1.470527,-0.05596197,0.08390963,0.0166174,351.4941,314.6245,359.2043,0.4093003,0.08192229,0.1122042,345.631,30.25571,12.66243,0.00623309,-0.004570159,0.0001460592,0.001205749,0.001874714,-0.001547549,0.5171843,0.08938098,0.08593136,346.9157,24.11848,337.8969,0.002616125,-0.001505,-0.0003011395,-0.0007605948,0.001447798,0.0006570093

,1.481627,-0.05597842,0.08390856,0.0166152,351.5002,314.6219,359.2062,0.4094894,0.08181524,0.1123586,345.6318,30.25173,12.66237,0.00635112,-0.004339563,0.0009369935,-0.0004155924,-0.002200608,-0.001610847,0.5172062,0.08935642,0.08593667,346.9204,24.11487,337.8984,0.002360897,-0.001661909,-4.749953E-05,0.001857982,-0.0006036535,0.0001248642

,1.493486,-0.0560174,0.08391714,0.01661031,351.4887,314.6246,359.1948,0.4092543,0.08194888,0.1122827,345.6289,30.25265,12.66478,0.006249552,-0.004419352,0.0008140382,-0.001517634,-0.0009687687,0.001123401,0.5169683,0.08947146,0.08598262,346.9222,24.11612,337.8912,0.002014763,-0.001434917,0.0005713385,-0.001411082,0.0001903648,0.0001367053

,1.504712,-0.05605268,0.08393991,0.01667373,351.5026,314.6295,359.2,0.4093306,0.08190858,0.1122895,345.6306,30.25227,12.66673,0.006329279,-0.004030635,0.0007075802,-0.0001524298,-0.0004048363,0.001419805,0.5169964,0.08945394,0.08599561,346.9211,24.11655,337.8932,0.002159059,-0.001464581,0.0007549223,-0.0009855081,0.0004925691,0.00106537

,1.515887,-0.05599391,0.08400428,0.01665996,351.4847,314.6333,359.2045,0.4093938,0.08198857,0.1123928,345.6397,30.25537,12.65945,0.007040445,-0.003513399,0.001867805,8.838981E-05,-0.001852837,-0.0007434119,0.5171416,0.08935964,0.08611304,346.9349,24.10888,337.8961,0.002320941,-0.001846378,0.001442818,0.002394354,-0.001277077,-0.001126252

