songname,t,headX,headY,headZ,headRotX,headRotY,headRotZ,leftHandX,leftHandY,leftHandZ,leftHandRotX,leftHandRotY,leftHandRotZ,leftHandVelX,leftHandVelY,leftHandVelZ,leftHandAngVelX,leftHandAngVelY,leftHandAngVelZ,rightHandX,rightHandY,rightHandZ,rightHandRotX,rightHandRotY,rightHandRotZ,rightHandVelX,rightHandVelY,rightHandVelZ,rightHandAngVelX,rightHandAngVelY,rightHandAngVelZ

,6.038878,-0.09709013,0.4526228,-0.3862401,348.837,344.5676,13.47692,-0.25,1,0,0,0,0,0,0,0,0,0,0,0.25,1,0,0,0,0,0,0,0,0,0,0

,6.038878,-0.1031281,0.4528904,-0.3893183,348.4785,344.2561,14.1132,-0.25,1,0,0,0,0,0,0,0,0,0,0,0.25,1,0,0,0,0,0,0,0,0,0,0

,6.058878,-0.1038617,0.4529612,-0.3897299,348.4478,344.3116,14.13393,-0.25,1,0,0,0,0,0,0,0,0,0,0,0.25,1,0,0,0,0,0,0,0,0,0,0

,6.080284,-0.103996,0.4531355,-0.3901873,348.3872,344.3352,14.179,0.182878,0.08269668,0.06705761,346.8145,4.417876,1.534737,-0.006406383,0.005275231,-0.01131967,-0.00622831,0.004803808,-0.0887462,0.5106225,0.08988547,0.0891729,346.1218,19.65442,346.9814,0.0004361793,-0.002433288,-0.0003691056,-0.0005529483,-0.002021715,-0.0004181351

,6.103886,-0.1040959,0.453172,-0.3908168,348.3195,344.3632,14.1845,0.182428,0.08285236,0.06703717,346.8437,4.37745,1.620126,-0.01263351,0.003875877,-0.009828947,0.001484821,0.0006583598,0.008229263,0.5106907,0.08986819,0.08917314,346.121,19.65416,346.9821,0.0009801738,-0.00185454,-0.0006672274,-0.001143189,-0.001357448,0.0007954428

,6.111116,-0.1041673,0.4531982,-0.3910984,348.2841,344.3813,14.18164,0.1821586,0.0829978,0.06732607,346.8677,4.352118,1.702179,-0.01557461,0.004003423,-0.006959955,0.002315766,0.001229358,0.04603732,0.5107312,0.08984292,0.08918315,346.1262,19.66159,346.9784,0.00190569,-0.002179204,-0.0001873254,0.0009759458,0.001979435,-0.001863806

,6.115547,-0.1042804,0.4532781,-0.3914132,348.2514,344.4053,14.17311,0.1820977,0.08301342,0.06729889,346.8674,4.349998,1.712663,-0.01557461,0.004003423,-0.006959955,0.002315766,0.001229358,0.04603732,0.5107243,0.08984864,0.08918029,346.1205,19.65355,346.9759,0.001488163,-0.00175376,-0.0002562767,-0.002332461,-0.002707248,-0.001846012

,6.126702,-0.1041816,0.4533181,-0.3916529,348.212,344.4243,14.16673,0.182005,0.08309829,0.06719089,346.8645,4.287946,1.842448,-0.01533966,0.00262375,-0.007357419,0.002600722,-0.01171225,0.1015019,0.5108898,0.08975077,0.08936942,346.1288,19.6613,346.9836,0.00185843,-0.001930084,0.001174814,-0.0006671993,0.0009778704,0.0006813572

,6.137753,-0.1041789,0.4533403,-0.3918952,348.1859,344.4568,14.14582,0.1819438,0.08313704,0.06710064,346.8725,4.313201,1.760944,-0.01213961,0.002928528,-0.007663202,0.00246723,-0.003903021,0.03305518,0.5109086,0.08984661,0.08934939,346.1292,19.66473,346.9855,0.002291563,-0.001049928,0.0007532627,0.0005213515,0.002328112,0.003318568

,6.148989,-0.1042453,0.4534454,-0.3922132,348.1753,344.4904,14.13841,0.182092,0.08322549,0.06720173,346.8896,4.372767,1.476714,-0.003216897,0.002152071,-0.007045558,-0.007373422,-0.0008426295,-0.1070424,0.5109327,0.08981597,0.08934957,346.127,19.65789,346.9744,0.002261671,-0.001601113,0.0005347905,-0.002325668,-0.002703764,-0.001850776

,6.15988,-0.1042032,0.4535831,-0.3924321,348.1435,344.512,14.12487,0.1823058,0.08349752,0.06705052,346.8951,4.451184,1.133095,0.004328727,0.002756013,-0.007434447,-0.01477354,0.001972454,-0.2159399,0.5111089,0.08966613,0.08941418,346.1284,19.659,346.9819,0.002615332,-0.00201712,0.001196373,-0.0003431243,-0.0004555036,0.002551185

,6.170975,-0.1041472,0.4536186,-0.3926136,348.1216,344.5374,14.11606,0.1825929,0.08348405,0.06694704,346.8918,4.549059,0.7461721,0.01033632,0.00144825,-0.00804197,-0.02514886,0.005687628,-0.3215171,0.5112586,0.08971131,0.08940107,346.1331,19.66033,346.9794,0.003670322,-0.001941106,0.0007350916,0.002028348,-0.0004343457,0.002754111

,6.182377,-0.104189,0.4537023,-0.3929,348.099,344.5698,14.07782,0.1827558,0.08353853,0.06695676,346.9002,4.604851,0.4615241,0.01248097,0.001651586,-0.007991255,-0.02953826,0.004230418,-0.3654726,0.5113096,0.08970559,0.08939272,346.1307,19.66244,346.9647,0.003803936,-0.001577731,0.0002508575,-0.001663912,-0.001485312,-0.004068281

,6.194525,-0.1041214,0.4536366,-0.39301,348.0781,344.5783,14.03115,0.1831977,0.08359885,0.06687766,346.9135,4.672563,0.1510798,0.01568883,0.00189772,-0.008227096,-0.02820834,0.00443606,-0.390274,0.5113263,0.08964491,0.08929318,346.1263,19.65871,346.9664,0.003765734,-0.001890469,-0.0004209905,0.0001104816,-0.000804826,-0.002639992

,6.205712,-0.1041014,0.4536916,-0.3931623,348.074,344.5779,13.98677,0.1833346,0.08359492,0.06678534,346.9182,4.73202,359.8796,0.01437,0.001232065,-0.008105827,-0.02716812,0.002087089,-0.390739,0.5113564,0.08963323,0.08929539,346.1205,19.65702,346.9792,0.003478405,-0.001544983,-0.0001950097,-0.0009432345,0.000205874,0.003762556

,6.215658,-0.104094,0.4537537,-0.393366,348.0487,344.5736,13.9508,0.1828779,0.08366883,0.0670616,346.9346,4.667717,0.1498879,-0.000946194,0.001640492,-0.004937827,-0.01230447,0.002511449,-0.1715311,0.5114,0.08961761,0.08929318,346.1208,19.66108,346.9652,0.003586129,-0.0014505,-0.0002355308,-0.003214488,0.0003307666,-0.003011966

,6.226763,-0.1039867,0.4535848,-0.3934341,348.0082,344.5634,13.93169,0.1823541,0.08373654,0.0670433,346.9365,4.545225,0.669968,-0.01725386,0.001631518,-0.003960992,0.008646287,0.002126985,0.113396,0.5113082,0.08948183,0.08937943,346.1262,19.6611,346.9835,0.002464948,-0.002600665,-5.703342E-05,-0.0006689638,0.0009785107,0.000682275

,6.237945,-0.1039271,0.4536021,-0.393525,347.9843,344.5526,13.90729,0.1812084,0.08375371,0.0670234,346.9312,4.309733,1.656641,-0.0430609,0.001729137,-0.003306648,0.0386996,-0.003974299,0.5303456,0.5113394,0.08944631,0.0893802,346.1287,19.65954,346.9895,0.002569323,-0.002829853,-7.928026E-06,0.002064535,0.0005078247,0.002269737

,6.252476,-0.1037376,0.4537771,-0.3937872,347.9639,344.5359,13.8935,0.1804281,0.08380914,0.06707489,346.9298,4.155602,2.256623,-0.05221079,0.001206927,-0.002331067,0.04853161,-0.006522075,0.6870219,0.511373,0.08941376,0.08937508,346.1321,19.6581,346.9762,0.002749463,-0.002914897,-0.0001141479,0.001301292,-0.002128858,-0.00506155

,6.260088,-0.1036576,0.4537793,-0.3938324,347.9506,344.522,13.87606,0.1792336,0.08423948,0.06692803,346.9261,3.97431,3.086251,-0.06269209,0.002683494,-0.002381237,0.05919117,-0.0001538677,0.8687994,0.511543,0.08948231,0.08933562,346.128,19.66401,346.9665,0.003951375,-0.001489374,-0.000455918,-0.0008017711,0.001294663,-0.003297817

,6.271202,-0.1036264,0.4538208,-0.3938262,347.917,344.4922,13.863,0.1780729,0.08424282,0.06689584,346.9166,3.724924,4.126283,-0.07633359,0.002194525,-0.002668451,0.06956296,-0.006654123,1.099362,0.5115721,0.0894686,0.08931947,346.1308,19.6555,346.9821,0.003676365,-0.001430147,-0.0007823689,0.003374176,-0.001142846,0.00380048

,6.282481,-0.1036242,0.4537708,-0.3935417,347.8979,344.472,13.82922,0.1768366,0.08437514,0.06706685,346.9231,3.478112,5.102563,-0.08371691,0.001839235,-0.002886776,0.07133225,-0.01043083,1.22217,0.5116401,0.08947563,0.08927923,346.1219,19.66102,346.9716,0.00435392,-0.0007410694,-0.001672594,-0.003441314,0.0005055008,-0.0004171644

,6.294353,-0.1035758,0.4537779,-0.3934682,347.8975,344.451,13.80764,0.1754203,0.08482707,0.06650221,346.9135,3.293397,5.752728,-0.08100991,0.001873521,-0.01411562,0.06124761,-0.02673075,1.135093,0.5117548,0.08950901,0.08951557,346.1383,19.66485,346.9718,0.004624842,-0.0004273402,0.0004369887,-0.0004639846,-0.0001320851,-0.00142628

