songname,t,headX,headY,headZ,headRotX,headRotY,headRotZ,leftHandX,leftHandY,leftHandZ,leftHandRotX,leftHandRotY,leftHandRotZ,leftHandVelX,leftHandVelY,leftHandVelZ,leftHandAngVelX,leftHandAngVelY,leftHandAngVelZ,rightHandX,rightHandY,rightHandZ,rightHandRotX,rightHandRotY,rightHandRotZ,rightHandVelX,rightHandVelY,rightHandVelZ,rightHandAngVelX,rightHandAngVelY,rightHandAngVelZ

,4.82271,-0.08955991,0.5207391,-0.324994,332.6839,348.929,7.746392,-0.25,1,0,0,0,0,0,0,0,0,0,0,0.25,1,0,0,0,0,0,0,0,0,0,0

,4.82271,-0.09269285,0.5190349,-0.3257421,332.3497,348.9002,8.378107,-0.25,1,0,0,0,0,0,0,0,0,0,0,0.25,1,0,0,0,0,0,0,0,0,0,0

,4.84271,-0.09259546,0.5190064,-0.3257537,332.356,348.9233,8.230243,-0.25,1,0,0,0,0,0,0,0,0,0,0,0.25,1,0,0,0,0,0,0,0,0,0,0

,4.866262,-0.0925312,0.5188913,-0.3257257,332.3124,348.9799,8.143086,0,0,0,0,0,0,-1.192841E-19,8.898245E-43,1.159023E-19,-8.898245E-43,1.158921E-19,8.898245E-43,0.1782942,0.08517635,0.07365072,346.9785,357.5983,4.921775,0.09076489,-0.03178107,0.01480104,0.06368477,0.008074649,-0.8353915

,4.886915,-0.0926131,0.5189584,-0.3258711,332.3047,349.0237,8.128165,0,0,0,0,0,0,-1.192841E-19,8.898245E-43,1.159023E-19,-8.898245E-43,1.158921E-19,8.898245E-43,0.1794248,0.08443224,0.0737974,346.97,357.776,4.34602,0.06591833,-0.03379262,0.009629079,0.0294667,0.03034493,-0.5611418

,4.894014,-0.09266961,0.5190187,-0.3258043,332.2841,349.0456,8.115744,0,0,0,0,0,0,-1.192841E-19,8.898245E-43,1.159023E-19,-8.898245E-43,1.158921E-19,8.898245E-43,0.1796671,0.08350265,0.07400829,346.9081,357.633,4.997173,0.0405113,-0.03478481,0.008030341,-0.004210121,0.01151386,-0.1295551

,4.90094,-0.09235108,0.518857,-0.3257641,332.2669,349.048,8.095475,0,0,0,0,0,0,-1.192841E-19,8.898245E-43,1.159023E-19,-8.898245E-43,1.158921E-19,8.898245E-43,0.1796007,0.08323169,0.07397789,346.8967,357.5909,5.220972,0.03095058,-0.03691685,0.00553163,-0.01439524,0.01401492,0.009506228

,4.912495,-0.09238839,0.5189511,-0.3257645,332.2736,349.042,8.071074,0,0,0,0,0,0,-1.192841E-19,8.898245E-43,1.159023E-19,-8.898245E-43,1.158921E-19,8.898245E-43,0.1791166,0.08270609,0.07373136,346.8485,357.4655,5.994798,0.007248269,-0.03905079,-0.00350053,-0.04891952,0.03318378,0.3638904

,4.923601,-0.09229362,0.518768,-0.3255648,332.2594,349.0623,8.060135,0,0,0,0,0,0,-1.192841E-19,8.898245E-43,1.159023E-19,-8.898245E-43,1.158921E-19,8.898245E-43,0.1785901,0.08196318,0.07340664,346.8156,357.2751,6.710248,-0.01226496,-0.04147973,-0.01554741,-0.05234753,0.002938856,0.6081138

,4.935101,-0.09221816,0.5187231,-0.3255832,332.2894,349.0771,8.024878,0,0,0,0,0,0,-1.192841E-19,8.898245E-43,1.159023E-19,-8.898245E-43,1.158921E-19,8.898245E-43,0.1781932,0.08159041,0.07291287,346.8157,357.0779,7.187615,-0.0199083,-0.04035605,-0.02551074,-0.0495753,-0.04053116,0.6660168

,4.945781,-0.09217715,0.5186682,-0.3256187,332.3501,349.1142,7.99413,0,0,0,0,0,0,-1.192841E-19,8.898245E-43,1.159023E-19,-8.898245E-43,1.158921E-19,8.898245E-43,0.1779817,0.08113527,0.0721482,346.8083,356.8273,7.402723,-0.018641,-0.04009783,-0.03833554,-0.04268749,-0.1225843,0.5507882

