songname,t,headX,headY,headZ,headRotX,headRotY,headRotZ,leftHandX,leftHandY,leftHandZ,leftHandRotX,leftHandRotY,leftHandRotZ,leftHandVelX,leftHandVelY,leftHandVelZ,leftHandAngVelX,leftHandAngVelY,leftHandAngVelZ,rightHandX,rightHandY,rightHandZ,rightHandRotX,rightHandRotY,rightHandRotZ,rightHandVelX,rightHandVelY,rightHandVelZ,rightHandAngVelX,rightHandAngVelY,rightHandAngVelZ

,5.868776,-0.19709,0.4263251,-0.4203435,0.9515113,304.1115,26.76368,-0.25,1,0,0,0,0,0,0,0,0,0,0,0.25,1,0,0,0,0,0,0,0,0,0,0

,5.868776,-0.1961292,0.4274651,-0.4206154,0.9883552,304.2059,26.9074,-0.25,1,0,0,0,0,0,0,0,0,0,0,0.25,1,0,0,0,0,0,0,0,0,0,0

,5.888776,-0.1952776,0.4280709,-0.4202677,0.8587645,304.3979,27.0409,-0.25,1,0,0,0,0,0,0,0,0,0,0,0.25,1,0,0,0,0,0,0,0,0,0,0

,5.913143,-0.1947551,0.4286773,-0.4201064,0.7799677,304.6245,27.07737,-0.4824933,0.09539831,0.001463175,347.2673,289.0739,6.125751,-0.009556268,0.01157941,-0.001898932,0.001240842,0.0005932143,0.002669402,-0.4073172,0.08336473,0.1397072,346.2668,334.3902,353.9561,0.001302859,-0.0001825368,0.001732048,0.00131165,0.001772366,-0.0007043077

,5.936304,-0.1940178,0.4290354,-0.4200261,0.778125,304.8042,27.07682,-0.4824462,0.09533072,0.00142467,347.2612,289.0717,6.130958,-0.009570656,0.01146039,-0.002431391,0.0004873505,0.000360723,0.0006844039,-0.4073023,0.08338797,0.139591,346.2541,334.3918,353.9561,0.001097249,-7.732376E-05,0.0008393369,-0.001257472,0.001312376,-0.0005199992

,5.943707,-0.1937262,0.4291857,-0.4199409,0.7745124,304.8667,27.08431,-0.4825268,0.09541059,0.001403928,347.2637,289.075,6.131037,-0.009840934,0.01121325,-0.00247287,0.001097612,0.001494106,0.001467224,-0.4072965,0.08338249,0.1395998,346.2551,334.3875,353.9537,0.001024943,-0.0001728643,0.0009210691,6.4199E-05,-0.001464509,-0.00138938

,5.948444,-0.1934791,0.4293106,-0.4198768,0.7357742,304.927,27.06107,-0.4825878,0.0954777,0.001386136,347.2627,289.0713,6.134029,-0.009948442,0.01125654,-0.002561931,-0.0007184045,-0.0003638298,0.0012237,-0.4072831,0.0833745,0.1396148,346.2593,334.391,353.956,0.001257753,-0.0003865663,0.001226901,0.001568416,0.0009760131,0.0009342962

,5.960177,-0.19327,0.4294509,-0.4198211,0.69754,304.9719,27.04685,-0.4823631,0.09523177,0.001480579,347.2613,289.0734,6.127163,-0.009199758,0.01090123,-0.002294061,0.001221827,-0.0009475112,0.0005575696,-0.4073383,0.08349061,0.1396235,346.2594,334.3894,353.9511,0.001178937,0.0001791372,0.001304356,0.001252164,-0.0005677299,-0.001145145

,5.970963,-0.1930789,0.429512,-0.4197628,0.6590484,305.021,27.02291,-0.4824544,0.09536469,0.00145337,347.2573,289.0703,6.12812,-0.009230029,0.01164913,-0.002448423,0.0002378208,-0.002196487,-0.001216139,-0.4073108,0.08349323,0.1396481,346.2605,334.3965,353.9527,0.001622165,0.0001902974,0.00161951,0.001116365,0.003105712,-3.134953E-05

,5.982406,-0.1930468,0.4295278,-0.4197489,0.6774971,305.0567,26.94776,-0.4825765,0.09550464,0.00144133,347.262,289.0748,6.130483,-0.009654067,0.01173151,-0.002019767,-0.0001061409,0.0007719659,0.002002955,-0.4073029,0.08349073,0.1396644,346.2573,334.3943,353.9524,0.001343821,0.0001269718,0.001523427,-0.0008216597,0.000988956,-0.001437482

,5.993374,-0.1930372,0.4296235,-0.4197478,0.6916998,305.1026,26.83826,-0.4824278,0.09531653,0.001448303,347.268,289.0628,6.124904,-0.009270472,0.01195689,-0.002515069,0.001462879,5.650505E-05,0.0003553546,-0.4074509,0.08333802,0.1396273,346.2615,334.3873,353.9624,-0.0003769472,-0.001567253,0.001160037,-0.0008012481,-0.0008192689,0.00045329

,6.005634,-0.1929942,0.4295204,-0.4197482,0.7016641,305.0677,26.63869,-0.4825146,0.09537387,0.001424938,347.261,289.0763,6.12786,-0.009502602,0.01228686,-0.002628474,0.00228696,0.0006793339,-0.001178008,-0.4074355,0.08328557,0.1396524,346.258,334.3948,353.9604,0.0001181814,-0.002537472,0.00149777,-0.001954053,0.002431117,-0.001237607

,6.015483,-0.1929963,0.4294376,-0.4198337,0.7182295,305.0177,26.45015,-0.4826441,0.09553766,0.00140667,347.2584,289.0812,6.132649,-0.00993864,0.0128909,-0.00225933,-0.0005210132,0.003478011,-0.001591267,-0.4074533,0.08320856,0.1396809,346.2625,334.3906,353.9577,-0.0004229093,-0.003826307,0.001831912,0.001251887,-0.0005696472,-0.001137738

,6.026403,-0.1932509,0.4293104,-0.4198518,0.8020398,304.8859,26.19521,-0.4823152,0.09527743,0.001457572,347.2529,289.0706,6.135197,-0.009154618,0.01267802,-0.002436779,-0.0009600712,-0.001380152,0.001418844,-0.4073634,0.08322203,0.1396073,346.2498,334.3904,353.9543,0.0003900139,-0.003717582,0.001230193,-0.00225629,-0.000918319,-0.001442228

,6.037306,-0.1935302,0.4291407,-0.4198786,0.8954256,304.7821,25.97623,-0.4824119,0.09544623,0.001426786,347.2494,289.0702,6.131067,-0.009037136,0.01323678,-0.002526973,0.00023074,-0.002198058,-0.001225364,-0.4073582,0.08315945,0.139618,346.2553,334.3895,353.9613,0.000427443,-0.004204246,0.001122201,-0.000731369,-0.0002836566,0.002764821

,6.04861,-0.1938114,0.4289773,-0.4198972,1.026295,304.6744,25.74888,-0.4825089,0.09557438,0.001417458,347.2546,289.0772,6.13117,-0.009295195,0.01320919,-0.00213477,0.001093015,0.001495101,0.001454064,-0.4073412,0.08311987,0.1396278,346.2554,334.3912,353.9581,0.0007589241,-0.004194592,0.001092157,0.0003798429,7.769994E-05,0.0006890207

,6.059798,-0.1944133,0.4288899,-0.41993,1.15961,304.5991,25.43141,-0.4823467,0.09526968,0.001444757,347.2563,289.0748,6.13189,-0.009004142,0.01182215,-0.00223478,0.00168609,0.001084424,0.0001360812,-0.4073772,0.08314919,0.1395735,346.2514,334.3925,353.9559,0.0009129437,-0.004425442,0.0009017874,-0.0005630588,0.0001901913,0.0002010902

,6.070992,-0.1946987,0.4286188,-0.4199702,1.284965,304.5314,25.08455,-0.4824721,0.09542191,0.001395702,347.2597,289.0687,6.132243,-0.009485379,0.0119815,-0.002696517,0.001349668,-0.0018526,0.001751405,-0.4073783,0.0830909,0.1395826,346.2583,334.39,353.9569,0.0006569339,-0.00451877,0.0007972306,0.002019012,-0.001154919,0.00189585

,6.083667,-0.1949583,0.4284042,-0.4200058,1.337443,304.5303,24.77964,-0.4825915,0.09557462,0.001379788,347.2578,289.073,6.131949,-0.00971907,0.0122993,-0.002335895,0.0004802518,0.0003599957,0.0006754866,-0.407361,0.08303607,0.1395812,346.2535,334.3901,353.9615,0.0009675091,-0.004621256,0.0004924953,-0.001674257,-0.0001711817,0.002276899

,6.093039,-0.1953527,0.4283519,-0.4200411,1.337376,304.5521,24.6314,-0.4823358,0.09528708,0.001406878,347.2552,289.0736,6.128909,-0.008877806,0.01167839,-0.002842749,0.001448395,6.675647E-05,0.0003418902,-0.4072756,0.08323419,0.1395237,346.2485,334.3934,353.9573,0.002414896,-0.00354958,0.0002435015,-0.002616779,-5.604219E-05,0.001785328

,6.10467,-0.1955829,0.4282502,-0.4200473,1.297996,304.6012,24.56338,-0.4824473,0.09543145,0.001382083,347.2578,289.0721,6.133103,-0.009094455,0.01189495,-0.002613378,-0.0003529011,-0.0002487592,0.002203316,-0.4072442,0.08319783,0.1395267,346.2494,334.3897,353.9577,0.002517344,-0.003429338,0.000269773,-0.001485117,-0.001500649,0.001593018

,6.115603,-0.1958287,0.4282459,-0.419995,1.23144,304.6836,24.61898,-0.4825668,0.09559667,0.001353711,347.2581,289.0675,6.139207,-0.009439185,0.01261078,-0.002585718,-0.003138204,-0.001813402,0.002291085,-0.4071933,0.08316708,0.1395329,346.2458,334.3916,353.9586,0.003109532,-0.003085327,0.0003040148,-0.003125155,-0.0002677218,0.0003829525

,6.126605,-0.1959107,0.4282184,-0.4199702,1.297357,304.7894,24.62086,-0.4823301,0.09526706,0.001419455,347.2618,289.0714,6.140193,-0.008988291,0.0116386,-0.002470623,-0.00325867,0.000630191,0.003198153,-0.4072441,0.08327687,0.1395506,346.255,334.396,353.9568,0.003207974,-0.002943555,0.0007730726,0.0001917732,0.001414027,0.001355992

,6.137859,-0.1960437,0.4283671,-0.4199483,1.527057,304.9352,24.62822,-0.4824426,0.09541988,0.001393765,347.2587,289.0704,6.13442,-0.009214161,0.01208252,-0.002361514,-0.0001293694,-0.0007737372,-0.0001084435,-0.4072034,0.08323967,0.1395653,346.2551,334.3928,353.9514,0.003237067,-0.003054635,0.0008907478,0.001004871,-0.001574494,-0.0009157631

